,outcome,factor,mwu,p-value,q-value,auc
6,non_rebreather_mask,hydroxychloroquine_days,12883.0,1.1239345847093761e-14,1.1239345847093761e-13,0.2772684228650138
7,non_rebreather_mask,kaletra_days,22251.0,0.16364640797868218,0.18182934219853575,0.48533164656357014
8,non_rebreather_mask,pressors_days,17944.0,3.7932960084371424e-06,1.2644320028123808e-05,0.4076328941390277
9,non_rebreather_mask,azithromycin_days,19055.5,0.0010533900081786613,0.0017556500136311022,0.41353081597222224
0,cpap_bpap,initial_temp,4767.0,0.01650896202950819,0.08254481014754095,0.37806328812752793
1,cpap_bpap,max_temp_admission,5811.0,0.2581114957859455,0.3687307082656365,0.46284348864994024
2,cpap_bpap,systolic_bp,6086.5,0.35442556155117744,0.39380617950130825,0.4786113076983565
3,cpap_bpap,initial_rr,6204.5,0.4151201620665142,0.4151201620665142,0.48789022568215773
4,cpap_bpap,o2_saturation,5695.5,0.1933126435855026,0.322187739309171,0.45073599240265905
5,cpap_bpap,chloroquine_days,5245.5,0.037351184498838313,0.12450394832946104,0.4366883116883117
6,cpap_bpap,hydroxychloroquine_days,5133.0,0.05236852769163724,0.13092131922909309,0.40884109916367983
7,cpap_bpap,kaletra_days,5641.0,0.14145521286053042,0.28291042572106084,0.46859943512211333
8,cpap_bpap,pressors_days,4819.5,0.0032802055916495575,0.03280205591649557,0.3931718061674009
9,cpap_bpap,azithromycin_days,5497.5,0.3278727395058593,0.39380617950130825,0.47494600431965445
0,nasal_cannula,initial_temp,25089.5,0.029853686788662594,0.05970737357732519,0.4484672446152471
1,nasal_cannula,max_temp_admission,19936.5,5.55279762923346e-07,2.77639881461673e-06,0.3663585578301297
2,nasal_cannula,systolic_bp,26155.5,0.07440091443768834,0.10628702062526907,0.4606139053254438
3,nasal_cannula,initial_rr,24336.0,0.0039091616016780385,0.009772904004195096,0.42857142857142855
4,nasal_cannula,o2_saturation,23297.5,0.0010822337925601917,0.003607445975200639,0.4164581173358121
5,nasal_cannula,chloroquine_days,26403.0,0.29384829950237695,0.3251089117777374,0.49083506841165975
6,nasal_cannula,hydroxychloroquine_days,17573.5,3.5606329537635313e-11,3.560632953763531e-10,0.32374451936185106
7,nasal_cannula,kaletra_days,26636.5,0.3251089117777374,0.3251089117777374,0.49367076877455707
8,nasal_cannula,pressors_days,24656.0,0.10248893430232164,0.12811116787790205,0.475672338619439
9,nasal_cannula,azithromycin_days,24590.0,0.04505670284972673,0.07509450474954456,0.455741715471866
0,cardiogenic_shock,initial_temp,2540.0,0.0701311696500218,0.11688528275003633,0.38438256658595643
1,cardiogenic_shock,max_temp_admission,2258.5,0.052223517686546546,0.10444703537309309,0.3680736636245111
2,cardiogenic_shock,systolic_bp,2838.5,0.1725231806513609,0.21565397581420112,0.4259453781512605
3,cardiogenic_shock,initial_rr,2790.5,0.14620831662197287,0.20886902374567554,0.4187424969987995
4,cardiogenic_shock,o2_saturation,2459.5,0.04952458176066942,0.10444703537309309,0.37141347025067956
5,cardiogenic_shock,chloroquine_days,2505.5,0.04279427314631756,0.10444703537309309,0.4135853416969297
6,cardiogenic_shock,hydroxychloroquine_days,3024.0,0.47502861970991694,0.47502861970991694,0.4949263502454992
7,cardiogenic_shock,kaletra_days,2592.5,0.039503403553157034,0.10444703537309309,0.4270301433042332
8,cardiogenic_shock,pressors_days,1149.5,1.0531223442745726e-08,1.0531223442745725e-07,0.19139194139194138
9,cardiogenic_shock,azithromycin_days,2930.0,0.41631631460617047,0.46257368289574496,0.4836579729283592
0,myocarditis,initial_temp,1013.0,0.2725393252709748,0.42422038013660834,0.42120582120582123
1,myocarditis,max_temp_admission,498.5,0.012026124560320933,0.06640516066549469,0.20684647302904563
2,myocarditis,systolic_bp,1068.0,0.3237618787086833,0.42422038013660834,0.4404123711340206
3,myocarditis,initial_rr,524.5,0.01328103213309894,0.06640516066549469,0.21628865979381443
4,myocarditis,o2_saturation,1180.0,0.4686324192327549,0.4686324192327549,0.4896265560165975
5,myocarditis,chloroquine_days,1110.5,0.3393763041092867,0.42422038013660834,0.4665966386554622
6,myocarditis,hydroxychloroquine_days,959.5,0.21630790382835396,0.42422038013660834,0.39979166666666666
7,myocarditis,kaletra_days,1060.5,0.2025257938742306,0.42422038013660834,0.4446540880503145
8,myocarditis,pressors_days,1124.5,0.39634481394089094,0.44038312660098994,0.4764830508474576
9,myocarditis,azithromycin_days,986.0,0.24346069983171142,0.42422038013660834,0.4142857142857143
0,sepsis,initial_temp,24465.5,0.046153071835275714,0.05769133979409464,0.4534594925212685
1,sepsis,max_temp_admission,16315.5,7.306837066110506e-11,3.6534185330552527e-10,0.3192732182693437
2,sepsis,systolic_bp,24751.5,0.04033563937908367,0.05762234197011953,0.4518676062509128
3,sepsis,initial_rr,22757.0,0.0009127891015811178,0.0022819727539527945,0.415455674017818
4,sepsis,o2_saturation,23151.5,0.003686646471568651,0.006144410785947752,0.426488468056886
5,sepsis,chloroquine_days,25002.0,0.15228304862301423,0.15228304862301423,0.48234749392290777
6,sepsis,hydroxychloroquine_days,17360.5,2.429560871179865e-10,8.098536237266217e-10,0.32979673252279634
7,sepsis,kaletra_days,25152.0,0.1285896422233559,0.1428773802481732,0.48375742888465756
8,sepsis,pressors_days,15543.5,1.0659013040383198e-22,1.0659013040383197e-21,0.30950816407805654
9,sepsis,azithromycin_days,21957.5,0.0019824238055043135,0.003964847611008627,0.4236119149592931
0,ards,initial_temp,20701.0,0.09933684258588255,0.12417105323235318,0.4614990190832887
1,ards,max_temp_admission,13506.5,1.0751401583831634e-09,3.583800527943878e-09,0.3170391061452514
2,ards,systolic_bp,22120.0,0.3095849981007822,0.3095849981007822,0.48516219595113286
3,ards,initial_rr,16975.0,6.878349864381561e-06,1.71958746609539e-05,0.3723159256903472
4,ards,o2_saturation,16908.0,1.531389060437163e-05,3.062778120874326e-05,0.37588368680805656
5,ards,chloroquine_days,19548.5,0.008749272746332668,0.012498961066189527,0.455209109538003
6,ards,hydroxychloroquine_days,11702.0,2.8056807238714806e-15,1.4028403619357402e-14,0.2679949616397572
7,ards,kaletra_days,20822.5,0.1448685055356589,0.1609650061507321,0.48350206659545814
8,ards,pressors_days,7384.0,1.7318593839557326e-50,1.7318593839557326e-49,0.17980373535929092
9,ards,azithromycin_days,16424.0,2.6174185587425673e-05,4.362364264570946e-05,0.3834337208759397
0,ecmo,initial_temp,658.0,0.3841604821048388,0.3841604821048388,0.45037645448323066
1,ecmo,max_temp_admission,644.0,0.36244999673723965,0.3841604821048388,0.4407939767282683
2,ecmo,systolic_bp,659.0,0.37736258596093963,0.3841604821048388,0.44738628649015616
3,ecmo,initial_rr,496.5,0.16178348219913907,0.3841604821048388,0.33706720977596744
4,ecmo,o2_saturation,529.0,0.20289959304004979,0.3841604821048388,0.36133879781420764
5,ecmo,chloroquine_days,568.5,0.14884948170682089,0.3841604821048388,0.39315352697095435
6,ecmo,hydroxychloroquine_days,605.5,0.30377379316958353,0.3841604821048388,0.4152949245541838
7,ecmo,kaletra_days,567.5,0.09966042573090933,0.3841604821048388,0.3916494133885438
8,ecmo,pressors_days,415.5,0.03321220964972069,0.3321220964972069,0.2897489539748954
9,ecmo,azithromycin_days,644.5,0.36464456839894216,0.3841604821048388,0.4447895100069013
